id,gender,race,ses,schtyp,prog,read,write,math,science,socst
70,male,4,1,1,1,57,52,41,47,57
121,female,4,2,1,3,68,59,53,63,61
86,male,4,3,1,1,44,33,54,58,31
141,male,4,3,1,3,63,44,47,53,56
172,male,4,2,1,2,47,52,57,53,61
113,male,4,2,1,2,44,52,51,63,61
50,male,3,2,1,1,50,59,42,53,61
11,male,1,2,1,2,34,46,45,39,36
84,male,4,2,1,1,63,57,54,58,51
48,male,3,2,1,2,57,55,52,50,51
75,male,4,2,1,3,60,46,51,53,61
60,male,4,2,1,2,57,65,51,63,61
95,male,4,3,1,2,73,60,71,61,71
104,male,4,3,1,2,54,63,57,55,46
38,male,3,1,1,2,45,57,50,31,56
115,male,4,1,1,1,42,49,43,50,56
76,male,4,3,1,2,47,52,51,50,56
195,male,4,2,2,1,57,57,60,58,56
114,male,4,3,1,2,68,65,62,55,61
85,male,4,2,1,1,55,39,57,53,46
167,male,4,2,1,1,63,49,35,66,41
143,male,4,2,1,3,63,63,75,72,66
41,male,3,2,1,2,50,40,45,55,56
20,male,1,3,1,2,60,52,57,61,61
12,male,1,2,1,3,37,44,45,39,46
53,male,3,2,1,3,34,37,46,39,31
154,male,4,3,1,2,65,65,66,61,66
178,male,4,2,2,3,47,57,57,58,46
196,male,4,3,2,2,44,38,49,39,46
29,male,2,1,1,1,52,44,49,55,41
126,male,4,2,1,1,42,31,57,47,51
103,male,4,3,1,2,76,52,64,64,61
192,male,4,3,2,2,65,67,63,66,71
150,male,4,2,1,3,42,41,57,72,31
199,male,4,3,2,2,52,59,50,61,61
144,male,4,3,1,1,60,65,58,61,66
200,male,4,2,2,2,68,54,75,66,66
80,male,4,3,1,2,65,62,68,66,66
16,male,1,1,1,3,47,31,44,36,36
153,male,4,2,1,3,39,31,40,39,51
176,male,4,2,2,2,47,47,41,42,51
177,male,4,2,2,2,55,59,62,58,51
168,male,4,2,1,2,52,54,57,55,51
40,male,3,1,1,1,42,41,43,50,41
62,male,4,3,1,1,65,65,48,63,66
169,male,4,1,1,1,55,59,63,69,46
49,male,3,3,1,3,50,40,39,49,47
136,male,4,2,1,2,65,59,70,63,51
189,male,4,2,2,2,47,59,63,53,46
7,male,1,2,1,2,57,54,59,47,51
27,male,2,2,1,2,53,61,61,57,56
128,male,4,3,1,2,39,33,38,47,41
21,male,1,2,1,1,44,44,61,50,46
183,male,4,2,2,2,63,59,49,55,71
132,male,4,2,1,2,73,62,73,69,66
15,male,1,3,1,3,39,39,44,26,42
67,male,4,1,1,3,37,37,42,33,32
22,male,1,2,1,3,42,39,39,56,46
185,male,4,2,2,2,63,57,55,58,41
9,male,1,2,1,3,48,49,52,44,51
181,male,4,2,2,2,50,46,45,58,61
170,male,4,3,1,2,47,62,61,69,66
134,male,4,1,1,1,44,44,39,34,46
108,male,4,2,1,1,34,33,41,36,36
197,male,4,3,2,2,50,42,50,36,61
140,male,4,2,1,3,44,41,40,50,26
171,male,4,2,1,2,60,54,60,55,66
107,male,4,1,1,3,47,39,47,42,26
81,male,4,1,1,2,63,43,59,65,44
18,male,1,2,1,3,50,33,49,44,36
155,male,4,2,1,1,44,44,46,39,51
97,male,4,3,1,2,60,54,58,58,61
68,male,4,2,1,2,73,67,71,63,66
157,male,4,2,1,1,68,59,58,74,66
56,male,4,2,1,3,55,45,46,58,51
5,male,1,1,1,2,47,40,43,45,31
159,male,4,3,1,2,55,61,54,49,61
123,male,4,3,1,1,68,59,56,63,66
164,male,4,2,1,3,31,36,46,39,46
14,male,1,3,1,2,47,41,54,42,56
127,male,4,3,1,2,63,59,57,55,56
165,male,4,1,1,3,36,49,54,61,36
174,male,4,2,2,2,68,59,71,66,56
3,male,1,1,1,2,63,65,48,63,56
58,male,4,2,1,3,55,41,40,44,41
146,male,4,3,1,2,55,62,64,63,66
102,male,4,3,1,2,52,41,51,53,56
117,male,4,3,1,3,34,49,39,42,56
133,male,4,2,1,3,50,31,40,34,31
94,male,4,3,1,2,55,49,61,61,56
24,male,2,2,1,2,52,62,66,47,46
149,male,4,1,1,1,63,49,49,66,46
82,female,4,3,1,2,68,62,65,69,61
8,female,1,1,1,2,39,44,52,44,48
129,female,4,1,1,1,44,44,46,47,51
173,female,4,1,1,1,50,62,61,63,51
57,female,4,2,1,2,71,65,72,66,56
100,female,4,3,1,2,63,65,71,69,71
1,female,1,1,1,3,34,44,40,39,41
194,female,4,3,2,2,63,63,69,61,61
88,female,4,3,1,2,68,60,64,69,66
99,female,4,3,1,1,47,59,56,66,61
47,female,3,1,1,2,47,46,49,33,41
120,female,4,3,1,2,63,52,54,50,51
166,female,4,2,1,2,52,59,53,61,51
65,female,4,2,1,2,55,54,66,42,56
101,female,4,3,1,2,60,62,67,50,56
89,female,4,1,1,3,35,35,40,51,33
54,female,3,1,2,1,47,54,46,50,56
180,female,4,3,2,2,71,65,69,58,71
162,female,4,2,1,3,57,52,40,61,56
4,female,1,1,1,2,44,50,41,39,51
131,female,4,3,1,2,65,59,57,46,66
125,female,4,1,1,2,68,65,58,59,56
34,female,1,3,2,2,73,61,57,55,66
106,female,4,2,1,3,36,44,37,42,41
130,female,4,3,1,1,43,54,55,55,46
93,female,4,3,1,2,73,67,62,58,66
163,female,4,1,1,2,52,57,64,58,56
37,female,3,1,1,3,41,47,40,39,51
35,female,1,1,2,1,60,54,50,50,51
87,female,4,2,1,1,50,52,46,50,56
73,female,4,2,1,2,50,52,53,39,56
151,female,4,2,1,3,47,46,52,48,46
44,female,3,1,1,3,47,62,45,34,46
152,female,4,3,1,2,55,57,56,58,61
105,female,4,2,1,2,50,41,45,44,56
28,female,2,2,1,1,39,53,54,50,41
91,female,4,3,1,3,50,49,56,47,46
45,female,3,1,1,3,34,35,41,29,26
116,female,4,2,1,2,57,59,54,50,56
33,female,2,1,1,2,57,65,72,54,56
66,female,4,2,1,3,68,62,56,50,51
72,female,4,2,1,3,42,54,47,47,46
77,female,4,1,1,2,61,59,49,44,66
61,female,4,3,1,2,76,63,60,67,66
190,female,4,2,2,2,47,59,54,58,46
42,female,3,2,1,3,46,52,55,44,56
2,female,1,2,1,3,39,41,33,42,41
55,female,3,2,2,2,52,49,49,44,61
19,female,1,1,1,1,28,46,43,44,51
90,female,4,3,1,2,42,54,50,50,52
142,female,4,2,1,3,47,42,52,39,51
17,female,1,2,1,2,47,57,48,44,41
122,female,4,2,1,2,52,59,58,53,66
191,female,4,3,2,2,47,52,43,48,61
83,female,4,2,1,3,50,62,41,55,31
182,female,4,2,2,2,44,52,43,44,51
6,female,1,1,1,2,47,41,46,40,41
46,female,3,1,1,2,45,55,44,34,41
43,female,3,1,1,2,47,37,43,42,46
96,female,4,3,1,2,65,54,61,58,56
138,female,4,2,1,3,43,57,40,50,51
10,female,1,2,1,1,47,54,49,53,61
71,female,4,2,1,1,57,62,56,58,66
139,female,4,2,1,2,68,59,61,55,71
110,female,4,2,1,3,52,55,50,54,61
148,female,4,2,1,3,42,57,51,47,61
109,female,4,2,1,1,42,39,42,42,41
39,female,3,3,1,2,66,67,67,61,66
147,female,4,1,1,2,47,62,53,53,61
74,female,4,2,1,2,57,50,50,51,58
198,female,4,3,2,2,47,61,51,63,31
161,female,4,1,1,2,57,62,72,61,61
112,female,4,2,1,2,52,59,48,55,61
69,female,4,1,1,3,44,44,40,40,31
156,female,4,2,1,2,50,59,53,61,61
111,female,4,1,1,1,39,54,39,47,36
186,female,4,2,2,2,57,62,63,55,41
98,female,4,1,1,3,57,60,51,53,37
119,female,4,1,1,1,42,57,45,50,43
13,female,1,2,1,3,47,46,39,47,61
51,female,3,3,1,1,42,36,42,31,39
26,female,2,3,1,2,60,59,62,61,51
36,female,3,1,1,1,44,49,44,35,51
135,female,4,1,1,2,63,60,65,54,66
59,female,4,2,1,2,65,67,63,55,71
78,female,4,2,1,2,39,54,54,53,41
64,female,4,3,1,3,50,52,45,58,36
63,female,4,1,1,1,52,65,60,56,51
79,female,4,2,1,2,60,62,49,50,51
193,female,4,2,2,2,44,49,48,39,51
92,female,4,3,1,1,52,67,57,63,61
160,female,4,2,1,2,55,65,55,50,61
32,female,2,3,1,3,50,67,66,66,56
23,female,2,1,1,2,65,65,64,58,71
158,female,4,2,1,1,52,54,55,53,51
25,female,2,2,1,1,47,44,42,42,36
188,female,4,3,2,2,63,62,56,55,61
52,female,3,1,1,2,50,46,53,53,66
124,female,4,1,1,3,42,54,41,42,41
175,female,4,3,2,1,36,57,42,50,41
184,female,4,2,2,3,50,52,53,55,56
30,female,2,3,1,2,41,59,42,34,51
179,female,4,2,2,2,47,65,60,50,56
31,female,2,2,2,1,55,59,52,42,56
145,female,4,2,1,3,42,46,38,36,46
187,female,4,2,2,1,57,41,57,55,52
118,female,4,2,1,1,55,62,58,58,61
137,female,4,3,1,2,63,65,65,53,61