C,S,W,Wt,Sa
2,3,28.3,3.05,8
3,3,26,2.6,4
3,3,25.6,2.15,0
4,2,21,1.85,0
2,3,29,3,1
1,2,25,2.3,3
4,3,26.2,1.3,0
2,3,24.9,2.1,0
2,1,25.7,2,8
2,3,27.5,3.15,6
1,1,26.1,2.8,5
3,3,28.9,2.8,4
2,1,30.3,3.6,3
2,3,22.9,1.6,4
3,3,26.2,2.3,3
3,3,24.5,2.05,5
2,3,30,3.05,8
2,3,26.2,2.4,3
2,3,25.4,2.25,6
2,3,25.4,2.25,4
4,3,27.5,2.9,0
4,3,27,2.25,3
2,2,24,1.7,0
2,1,28.7,3.2,0
3,3,26.5,1.97,1
2,3,24.5,1.6,1
3,3,27.3,2.9,1
2,3,26.5,2.3,4
2,3,25,2.1,2
3,3,22,1.4,0
1,1,30.2,3.28,2
2,2,25.4,2.3,0
2,1,24.9,2.3,6
4,3,25.8,2.25,10
3,3,27.2,2.4,5
2,3,30.5,3.32,3
4,3,25,2.1,8
2,3,30,3,9
2,1,22.9,1.6,0
2,3,23.9,1.85,2
2,3,26,2.28,3
2,3,25.8,2.2,0
3,3,29,3.28,4
1,1,26.5,2.35,0
3,3,22.5,1.55,0
2,3,23.8,2.1,0
3,3,24.3,2.15,0
2,1,26,2.3,14
4,3,24.7,2.2,0
2,1,22.5,1.6,1
2,3,28.7,3.15,3
1,1,29.3,3.2,4
2,1,26.7,2.7,5
4,3,23.4,1.9,0
1,1,27.7,2.5,6
2,3,28.2,2.6,6
4,3,24.7,2.1,5
2,1,25.7,2,5
2,1,27.8,2.75,0
3,1,27,2.45,3
2,3,29,3.2,10
3,3,25.6,2.8,7
3,3,24.2,1.9,0
3,3,25.7,1.2,0
3,3,23.1,1.65,0
2,3,28.5,3.05,0
2,1,29.7,3.85,5
3,3,23.1,1.55,0
3,3,24.5,2.2,1
2,3,27.5,2.55,1
2,3,26.3,2.4,1
2,3,27.8,3.25,3
2,3,31.9,3.33,2
2,3,25,2.4,5
3,3,26.2,2.22,0
3,3,28.4,3.2,3
1,2,24.5,1.95,6
2,3,27.9,3.05,7
2,2,25,2.25,6
3,3,29,2.92,3
2,1,31.7,3.73,4
2,3,27.6,2.85,4
4,3,24.5,1.9,0
3,3,23.8,1.8,0
2,3,28.2,3.05,8
3,3,24.1,1.8,0
1,1,28,2.62,0
1,1,26,2.3,9
3,2,24.7,1.9,0
2,3,25.8,2.65,0
1,1,27.1,2.95,8
2,3,27.4,2.7,5
3,3,26.7,2.6,2
2,1,26.8,2.7,5
1,3,25.8,2.6,0
4,3,23.7,1.85,0
2,3,27.9,2.8,6
2,1,30,3.3,5
2,3,25,2.1,4
2,3,27.7,2.9,5
2,3,28.3,3,15
4,3,25.5,2.25,0
2,3,26,2.15,5
2,3,26.2,2.4,0
3,3,23,1.65,1
2,2,22.9,1.6,0
2,3,25.1,2.1,5
3,1,25.9,2.55,4
4,1,25.5,2.75,0
2,1,26.8,2.55,0
2,1,29,2.8,1
3,3,28.5,3,1
2,2,24.7,2.55,4
2,3,29,3.1,1
2,3,27,2.5,6
4,3,23.7,1.8,0
3,3,27,2.5,6
2,3,24.2,1.65,2
4,3,22.5,1.47,4
2,3,25.1,1.8,0
2,3,24.9,2.2,0
2,3,27.5,2.63,6
2,1,24.3,2,0
2,3,29.5,3.02,4
2,3,26.2,2.3,0
2,3,24.7,1.95,4
3,2,29.8,3.5,4
4,3,25.7,2.15,0
3,3,26.2,2.17,2
4,3,27,2.63,0
3,3,24.8,2.1,0
2,1,23.7,1.95,0
2,3,28.2,3.05,11
2,3,25.2,2,1
2,2,23.2,1.95,4
4,3,25.8,2,3
4,3,27.5,2.6,0
2,2,25.7,2,0
2,3,26.8,2.65,0
3,3,27.5,3.1,3
3,1,28.5,3.25,9
2,3,28.5,3,3
1,1,27.4,2.7,6
2,3,27.2,2.7,3
3,3,27.1,2.55,0
2,3,28,2.8,1
2,1,26.5,1.3,0
3,3,23,1.8,0
3,2,26,2.2,3
3,2,24.5,2.25,0
2,3,25.8,2.3,0
4,3,23.5,1.9,0
4,3,26.7,2.45,0
3,3,25.5,2.25,0
2,3,28.2,2.87,1
2,1,25.2,2,1
2,3,25.3,1.9,2
3,3,25.7,2.1,0
4,3,29.3,3.23,12
3,3,23.8,1.8,6
2,3,27.4,2.9,3
2,3,26.2,2.02,2
2,1,28,2.9,4
2,1,28.4,3.1,5
2,1,33.5,5.2,7
2,3,25.8,2.4,0
3,3,24,1.9,10
2,1,23.1,2,0
2,3,28.3,3.2,0
2,3,26.5,2.35,4
2,3,26.5,2.75,7
3,3,26.1,2.75,3
2,2,24.5,2,0